=============BTC 7, 10=============
开空:2019-09-22T08:00:00, 开仓价:4.04, 平空:2019-09-28T04:00:00, 平仓价:2.85, 盈亏29.45%
开多:2019-09-28T04:00:00, 开仓价:2.85, 平多:2019-09-29T10:00:00, 平仓价:2.78, 盈亏-2.52%
开空:2019-09-29T10:00:00, 开仓价:2.78, 平空:2019-09-30T16:00:00, 平仓价:2.92, 盈亏-5.00%
开多:2019-09-30T16:00:00, 开仓价:2.92, 平多:2019-10-02T00:00:00, 平仓价:2.91, 盈亏-0.24%
开空:2019-10-02T00:00:00, 开仓价:2.91, 平空:2019-10-02T22:00:00, 平仓价:2.95, 盈亏-1.13%
开多:2019-10-02T22:00:00, 开仓价:2.95, 平多:2019-10-03T18:00:00, 平仓价:2.94, 盈亏-0.20%
开空:2019-10-03T18:00:00, 开仓价:2.94, 平空:2019-10-04T16:00:00, 平仓价:2.94, 盈亏0.07%
开多:2019-10-04T16:00:00, 开仓价:2.94, 平多:2019-10-05T16:00:00, 平仓价:2.94, 盈亏0.07%
开空:2019-10-05T16:00:00, 开仓价:2.94, 平空:2019-10-05T22:00:00, 平仓价:3.01, 盈亏-2.48%
开多:2019-10-05T22:00:00, 开仓价:3.01, 平多:2019-10-06T00:00:00, 平仓价:2.94, 盈亏-2.36%
开空:2019-10-06T00:00:00, 开仓价:2.94, 平空:2019-10-07T12:00:00, 平仓价:2.96, 盈亏-0.61%
开多:2019-10-07T12:00:00, 开仓价:2.96, 平多:2019-10-09T10:00:00, 平仓价:3.13, 盈亏5.84%
开空:2019-10-09T10:00:00, 开仓价:3.13, 平空:2019-10-09T14:00:00, 平仓价:3.20, 盈亏-1.98%
开多:2019-10-09T14:00:00, 开仓价:3.20, 平多:2019-10-10T12:00:00, 平仓价:3.17, 盈亏-0.78%
开空:2019-10-10T12:00:00, 开仓价:3.17, 平空:2019-10-12T12:00:00, 平仓价:3.14, 盈亏1.10%
开多:2019-10-12T12:00:00, 开仓价:3.14, 平多:2019-10-13T00:00:00, 平仓价:3.06, 盈亏-2.55%
开空:2019-10-13T00:00:00, 开仓价:3.06, 平空:2019-10-13T10:00:00, 平仓价:3.12, 盈亏-2.00%
开多:2019-10-13T10:00:00, 开仓价:3.12, 平多:2019-10-15T12:00:00, 平仓价:3.14, 盈亏0.74%
开空:2019-10-15T12:00:00, 开仓价:3.14, 平空:2019-10-17T20:00:00, 平仓价:2.94, 盈亏6.47%
开多:2019-10-17T20:00:00, 开仓价:2.94, 平多:2019-10-18T12:00:00, 平仓价:2.90, 盈亏-1.26%
开空:2019-10-18T12:00:00, 开仓价:2.90, 平空:2019-10-19T14:00:00, 平仓价:2.89, 盈亏0.38%
开多:2019-10-19T14:00:00, 开仓价:2.89, 平多:2019-10-20T02:00:00, 平仓价:2.86, 盈亏-1.07%
开空:2019-10-20T02:00:00, 开仓价:2.86, 平空:2019-10-20T22:00:00, 平仓价:2.91, 盈亏-1.79%
总盈亏21.08%
