开多:2019-10-07T20:00:00, 开仓价:3.04, 平多:2019-10-08T17:00:00, 平仓价:3.17, 盈亏4.55%
开空:2019-10-08T17:00:00, 开仓价:3.17, 平空:2019-10-08T20:00:00, 平仓价:3.20, 盈亏-0.66%
开多:2019-10-08T20:00:00, 开仓价:3.20, 平多:2019-10-08T21:00:00, 平仓价:3.17, 盈亏-0.78%
开空:2019-10-08T21:00:00, 开仓价:3.17, 平空:2019-10-09T15:00:00, 平仓价:3.20, 盈亏-0.79%
开多:2019-10-09T15:00:00, 开仓价:3.20, 平多:2019-10-10T09:00:00, 平仓价:3.19, 盈亏-0.16%
开空:2019-10-10T09:00:00, 开仓价:3.19, 平空:2019-10-11T05:00:00, 平仓价:3.14, 盈亏1.54%
开多:2019-10-11T05:00:00, 开仓价:3.14, 平多:2019-10-11T06:00:00, 平仓价:3.12, 盈亏-0.64%
开空:2019-10-11T06:00:00, 开仓价:3.12, 平空:2019-10-11T11:00:00, 平仓价:3.15, 盈亏-0.83%
开多:2019-10-11T11:00:00, 开仓价:3.15, 平多:2019-10-11T13:00:00, 平仓价:3.06, 盈亏-2.67%
开空:2019-10-11T13:00:00, 开仓价:3.06, 平空:2019-10-12T02:00:00, 平仓价:3.10, 盈亏-1.21%
开多:2019-10-12T02:00:00, 开仓价:3.10, 平多:2019-10-12T06:00:00, 平仓价:3.08, 盈亏-0.71%
开空:2019-10-12T06:00:00, 开仓价:3.08, 平空:2019-10-12T09:00:00, 平仓价:3.10, 盈亏-0.71%
开多:2019-10-12T09:00:00, 开仓价:3.10, 平多:2019-10-12T19:00:00, 平仓价:3.09, 盈亏-0.39%
开空:2019-10-12T19:00:00, 开仓价:3.09, 平空:2019-10-12T20:00:00, 平仓价:3.12, 盈亏-1.13%
开多:2019-10-12T20:00:00, 开仓价:3.12, 平多:2019-10-13T00:00:00, 平仓价:3.09, 盈亏-1.02%
开空:2019-10-13T00:00:00, 开仓价:3.09, 平空:2019-10-13T09:00:00, 平仓价:3.11, 盈亏-0.52%
开多:2019-10-13T09:00:00, 开仓价:3.11, 平多:2019-10-14T04:00:00, 平仓价:3.07, 盈亏-1.06%
开空:2019-10-14T04:00:00, 开仓价:3.07, 平空:2019-10-14T07:00:00, 平仓价:3.12, 盈亏-1.37%
开多:2019-10-14T07:00:00, 开仓价:3.12, 平多:2019-10-15T09:00:00, 平仓价:3.13, 盈亏0.58%
开空:2019-10-15T09:00:00, 开仓价:3.13, 平空:2019-10-17T07:00:00, 平仓价:2.93, 盈亏6.67%
开多:2019-10-17T07:00:00, 开仓价:2.93, 平多:2019-10-17T08:00:00, 平仓价:2.91, 盈亏-0.55%
开空:2019-10-17T08:00:00, 开仓价:2.91, 平空:2019-10-17T16:00:00, 平仓价:2.94, 盈亏-1.00%
开多:2019-10-17T16:00:00, 开仓价:2.94, 平多:2019-10-18T12:00:00, 平仓价:2.93, 盈亏-0.17%
开空:2019-10-18T12:00:00, 开仓价:2.93, 平空:2019-10-19T02:00:00, 平仓价:2.89, 盈亏1.40%
总盈亏7.09%
